date,open,day
2018-06-06 00:00:00+00:00,192.94083333333333,Wednesday
2018-06-07 00:00:00+00:00,193.36928571428572,Thursday
2018-06-08 00:00:00+00:00,191.26857142857145,Friday
2018-06-09 00:00:00+00:00,191.51,Saturday
2018-06-10 00:00:00+00:00,191.21666666666667,Sunday
2018-06-11 00:00:00+00:00,191.21666666666667,Monday
2018-06-12 00:00:00+00:00,191.58714285714285,Tuesday
2018-06-13 00:00:00+00:00,192.2242857142857,Wednesday
2018-06-14 00:00:00+00:00,190.76571428571427,Thursday
2018-06-15 00:00:00+00:00,189.24857142857144,Friday
2018-06-16 00:00:00+00:00,189.07,Saturday
2018-06-17 00:00:00+00:00,188.78416666666666,Sunday
2018-06-18 00:00:00+00:00,188.78416666666666,Monday
2018-06-19 00:00:00+00:00,185.77,Tuesday
2018-06-20 00:00:00+00:00,186.46714285714285,Wednesday
2018-06-21 00:00:00+00:00,186.1692857142857,Thursday
2018-06-22 00:00:00+00:00,185.58285714285714,Friday
2018-06-23 00:00:00+00:00,185.015,Saturday
2018-06-24 00:00:00+00:00,182.16666666666666,Sunday
2018-06-25 00:00:00+00:00,182.16666666666666,Monday
2018-06-26 00:00:00+00:00,184.79142857142855,Tuesday
2018-06-27 00:00:00+00:00,185.60928571428573,Wednesday
2018-06-28 00:00:00+00:00,185.155,Thursday
2018-06-29 00:00:00+00:00,186.18071428571426,Friday
2018-06-30 00:00:00+00:00,185.35,Saturday
2018-07-01 00:00:00+00:00,186.26416666666668,Sunday
2018-07-02 00:00:00+00:00,186.26416666666668,Monday
2018-07-03 00:00:00+00:00,185.46714285714285,Tuesday
2018-07-04 00:00:00+00:00,183.64000000000001,Wednesday
2018-07-05 00:00:00+00:00,185.20000000000002,Thursday
2018-07-06 00:00:00+00:00,187.1057142857143,Friday
2018-07-07 00:00:00+00:00,187.97,Saturday
2018-07-08 00:00:00+00:00,190.24166666666667,Sunday
2018-07-09 00:00:00+00:00,190.24166666666667,Monday
2018-07-10 00:00:00+00:00,190.76500000000001,Tuesday
2018-07-11 00:00:00+00:00,188.65785714285715,Wednesday
2018-07-12 00:00:00+00:00,190.29999999999998,Thursday
2018-07-13 00:00:00+00:00,191.36142857142858,Friday
2018-07-14 00:00:00+00:00,191.33,Saturday
2018-07-15 00:00:00+00:00,191.1833333333333,Sunday
2018-07-16 00:00:00+00:00,191.1833333333333,Monday
2018-07-17 00:00:00+00:00,190.87071428571429,Tuesday
2018-07-18 00:00:00+00:00,190.45357142857142,Wednesday
2018-07-19 00:00:00+00:00,191.77642857142857,Thursday
2018-07-20 00:00:00+00:00,191.89285714285714,Friday
2018-07-21 00:00:00+00:00,190.8,Saturday
2018-07-22 00:00:00+00:00,190.87166666666667,Sunday
2018-07-23 00:00:00+00:00,190.87166666666667,Monday
2018-07-24 00:00:00+00:00,192.63714285714286,Tuesday
2018-07-25 00:00:00+00:00,193.4,Wednesday
2018-07-26 00:00:00+00:00,194.79285714285714,Thursday
2018-07-27 00:00:00+00:00,192.79142857142855,Friday
2018-07-28 00:00:00+00:00,190.98,Saturday
2018-07-29 00:00:00+00:00,189.8033333333333,Sunday
2018-07-30 00:00:00+00:00,189.8033333333333,Monday
2018-07-31 00:00:00+00:00,190.67499999999998,Tuesday
2018-08-01 00:00:00+00:00,198.55285714285714,Wednesday
2018-08-02 00:00:00+00:00,205.65714285714284,Thursday
2018-08-03 00:00:00+00:00,207.51999999999998,Friday
2018-08-04 00:00:00+00:00,207.96,Saturday
2018-08-05 00:00:00+00:00,208.42666666666665,Sunday
2018-08-06 00:00:00+00:00,208.42666666666665,Monday
2018-08-07 00:00:00+00:00,207.72571428571428,Tuesday
2018-08-08 00:00:00+00:00,207.03714285714287,Wednesday
